,,2026-05-27 14:42:05,,,,,,,,,,,,,,,,,,,,,,,
STT,Mã Tour,Tên Tour,Ngày khởi hành,Ngày đóng chỗ,Tổng,Giữ chỗ,Đã bán,Còn lại,Giá,Giá chưa sale,Hoa hồng,Ghi chú,Link,,,,,,,,,,,,
24,FIT_004588,JAPAN - HCM - OSAKA - KYOTO - HAMMATSU - PHÚ SĨ - TOKYO 5N5Đ NGÀY,17/07/2026,17/07/2026,30,0,0,30,"29,400,000",,"2,000,000","KHÁCH GHÉP LAND CHECK DV VỚI ĐIỀU HÀNH
GIÁ GHÉP LAND (KHÔNG BAO GỒM VISA): 21.490.000/PAX
KHÁCH LÀM VISA CỘNG THÊM 1.000.000Đ/PAX",https://tinyurl.com/22uy7zst,,,,,,,,,,,,
25,FIT_005271,JAPAN - NAGOYA (THỦY CUNG NAGOYA) - SHIRAKAWAGO - KAMIKOCHI - PHÚ SĨ - TOKYO - NARITA 6N5Ð HCM - NHẬT BẢN,21/07/2026,21/07/2026,25,0,0,25,"33,400,000",,"2,000,000","KHÁCH GHÉP LAND CHECK DV VỚI ĐIỀU HÀNH
GIÁ GHÉP LAND (KHÔNG BAO GỒM VISA): 22.990.000/PAX
KHÁCH LÀM VISA CỘNG THÊM 1.000.000Đ/PAX",https://tinyurl.com/244fh2re,,,,,,,,,,,,
26,FIT_004589,JAPAN - FULL TRẢI NGHIỆM VÀNG - MÙA HOA LAVENDER 6N5Ð HCM - NHẬT BẢN,22/07/2026,22/07/2026,30,0,0,30,"32,400,000",,"2,000,000","KHÁCH GHÉP LAND CHECK DV VỚI ĐIỀU HÀNH
GIÁ GHÉP LAND (KHÔNG BAO GỒM VISA): 23.990.000/PAX
KHÁCH LÀM VISA CỘNG THÊM 1.000.000Đ/PAX",https://tinyurl.com/2942vpok,,,,,,,,,,,,
27,FITTT_005545,JAPAN - FULL TRẢI NGHIỆM VÀNG - MÙA HOA LAVENDER 6N5Ð HCM - NHẬT BẢN,24/07/2026,24/07/2026,30,0,0,30,"33,400,000",,"2,000,000","KHÁCH GHÉP LAND CHECK DV VỚI ĐIỀU HÀNH
GIÁ GHÉP LAND (KHÔNG BAO GỒM VISA): 24.490.000/PAX
KHÁCH LÀM VISA CỘNG THÊM 1.000.000Đ/PAX",https://tinyurl.com/28s7hlt5,,,,,,,,,,,,
28,FIT_005272,JAPAN - NAGOYA(THỦY CUNG NAGOYA) - SHIRAKAWAGO - KAMIKOCHI - PHÚ SĨ - TOKYO - NARITA 6N5Ð HCM - NHẬT BẢN,28/07/2026,28/07/2026,25,0,0,25,"33,400,000",,"2,000,000","KHÁCH GHÉP LAND CHECK DV VỚI ĐIỀU HÀNH
GIÁ GHÉP LAND (KHÔNG BAO GỒM VISA): 22.990.000/PAX
KHÁCH LÀM VISA CỘNG THÊM 1.000.000Đ/PAX",https://tinyurl.com/2bkd646n,,,,,,,,,,,,
29,FIT_004590,JAPAN - FULL TRẢI NGHIỆM VÀNG - UNIVERSAL 6N5Ð HCM - NHẬT BẢN,29/07/2026,29/07/2026,30,6,0,24,"33,400,000",,"2,000,000","KHÁCH GHÉP LAND CHECK DV VỚI ĐIỀU HÀNH
GIÁ GHÉP LAND (KHÔNG BAO GỒM VISA): 24.490.000/PAX
KHÁCH LÀM VISA CỘNG THÊM 1.000.000Đ/PAX",https://tinyurl.com/29hqmx54,,,,,,,,,,,,
30,FIT_004591,JAPAN - HCM - OSAKA - KYOTO - HAMMATSU - PHÚ SĨ - TOKYO 5N5Đ NGÀY,31/07/2026,31/07/2026,30,0,2,28,"29,400,000",,"2,000,000","KHÁCH GHÉP LAND CHECK DV VỚI ĐIỀU HÀNH
GIÁ GHÉP LAND (KHÔNG BAO GỒM VISA): 21.490.000/PAX
KHÁCH LÀM VISA CỘNG THÊM 1.000.000Đ/PAX",https://tinyurl.com/2b6mftq6,,,,,,,,,,,,
31,FIT_004592,JAPAN - FULL TRẢI NGHIỆM VÀNG - OSAKA - KYOTO - PHÚ SĨ - NAGOYA - TOKYO - LỄ HỘI HOA HƯỚNG DƯƠNG 6N5Ð HCM - NHẬT BẢN,05/08/2026,05/08/2026,30,0,0,30,"33,400,000",,"2,000,000","06-Aug-26 SGN-KIX VJ828 01:00 08:30
10-Aug-26 NRT-SGN VJ823 08:55 13:55",https://tinyurl.com/298v7t9m,,,,,,,,,,,,
32,FITTT_005547,JAPAN - FULL TRẢI NGHIỆM VÀNG - LỄ HỘI HOA HƯỚNG DƯƠNG 6N5Ð HCM - NHẬT BẢN,07/08/2026,07/08/2026,30,0,0,30,"34,400,000",,"2,000,000","07-Aug-2026 SGN-NRT VJ822 23:35 07:55
12-Aug-2026 KIX-SGN VJ829 09:30 13:00",https://tinyurl.com/27psnut5,,,,,,,,,,,,
33,FITTT_005573,JAPAN - FULL TRẢI NGHIỆM VÀNG - TOKYO - PHÚ SĨ - NAGOYA - KYOTA - OSAKA - LỄ HỘI HOA HƯỚNG DƯƠNG 6N5Ð HCM - NHẬT BẢN,09/08/2026,09/08/2026,25,0,3,22,"35,400,000",,"2,000,000","VN 306 T 10AUG 1 SGNNRT 0020 0800
VN 321 R 14AUG 5 KIXSGN 1000 1325",https://tinyurl.com/253p6l6h,,,,,,,,,,,,
